TEFF  40000.  GRAVITY 5.00000 LTE 
TITLE SDSC GRID  [-0.1]   VTURB 2.0 KM/S                                        
 OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
 CONVECTION OFF  1.00 TURBULENCE OFF  0.00  0.00  0.00  0.00
ABUNDANCE SCALE   0.79430 ABUNDANCE CHANGE 1 0.91100 2 0.08900
 ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
 ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
 ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
 ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
 ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
 ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
 ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
 ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
 ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
 ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
 ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
 ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
 ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
 ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
 ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
 ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
 ABUNDANCE CHANGE 99 -20.00
READ DECK6 64 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
 4.95827015E-06  20471.7 3.752E-01 6.642E+10 3.545E-01 2.432E+04 2.000E+05
 5.01659636E-06  22316.0 3.798E-01 6.183E+10 3.545E-01 1.907E+04 2.000E+05
 6.68350694E-06  22543.5 5.159E-01 8.313E+10 3.567E-01 1.766E+04 2.000E+05
 8.89358374E-06  22775.1 6.993E-01 1.115E+11 3.590E-01 1.641E+04 2.000E+05
 1.18189924E-05  22996.5 9.450E-01 1.493E+11 3.620E-01 1.565E+04 2.000E+05
 1.56868566E-05  23219.8 1.273E+00 1.991E+11 3.652E-01 1.491E+04 2.000E+05
 2.07949333E-05  23444.3 1.709E+00 2.648E+11 3.690E-01 1.440E+04 2.000E+05
 2.75303987E-05  23675.3 2.286E+00 3.508E+11 3.735E-01 1.414E+04 2.000E+05
 3.63959647E-05  23920.0 3.048E+00 4.628E+11 3.787E-01 1.408E+04 2.000E+05
 4.80475031E-05  24183.9 4.050E+00 6.083E+11 3.845E-01 1.392E+04 2.000E+05
 6.33380068E-05  24466.7 5.367E+00 7.969E+11 3.911E-01 1.383E+04 2.000E+05
 8.33662797E-05  24773.2 7.093E+00 1.040E+12 3.985E-01 1.380E+04 2.000E+05
 1.09541224E-04  25107.5 9.349E+00 1.353E+12 4.070E-01 1.386E+04 2.000E+05
