EFF  40000.  GRAVITY 4.50000 LTE 
ITLE SDSC GRID  [-0.5]   VTURB 2.0 KM/S                                        
OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
CONVECTION OFF  1.00 TURBULENCE OFF  0.00  0.00  0.00  0.00
BUNDANCE SCALE   0.31620 ABUNDANCE CHANGE 1 0.91100 2 0.08900
ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
ABUNDANCE CHANGE 99 -20.00
EAD DECK6 64 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
5.06558844E-06  21130.8 9.977E-02 1.713E+10 3.418E-01 1.193E+04 2.000E+05
5.20793812E-06  22272.6 1.027E-01 1.684E+10 3.418E-01 1.057E+04 2.000E+05
6.93580434E-06  22468.7 1.393E-01 2.264E+10 3.428E-01 1.025E+04 2.000E+05
9.23932027E-06  22698.3 1.894E-01 3.046E+10 3.439E-01 9.530E+03 2.000E+05
1.23011490E-05  22914.8 2.578E-01 4.107E+10 3.450E-01 9.065E+03 2.000E+05
1.63691635E-05  23135.5 3.504E-01 5.528E+10 3.464E-01 8.673E+03 2.000E+05
2.17716883E-05  23358.2 4.756E-01 7.431E+10 3.479E-01 8.261E+03 2.000E+05
2.89416131E-05  23580.6 6.441E-01 9.968E+10 3.498E-01 7.996E+03 2.000E+05
3.84469133E-05  23806.1 8.694E-01 1.332E+11 3.520E-01 7.869E+03 2.000E+05
5.10350773E-05  24041.1 1.169E+00 1.774E+11 3.546E-01 7.758E+03 2.000E+05
6.76899243E-05  24285.8 1.567E+00 2.355E+11 3.576E-01 7.668E+03 2.000E+05
8.96971900E-05  24541.0 2.094E+00 3.114E+11 3.611E-01 7.699E+03 2.000E+05
1.18728192E-04  24818.6 2.787E+00 4.097E+11 3.654E-01 7.850E+03 2.000E+05
1.56958975E-04  25132.0 3.693E+00 5.363E+11 3.702E-01 7.990E+03 2.000E+05
