TEFF  42500.  GRAVITY 5.00000 LTE 
TITLE SDSC GRID  [+0.3]   VTURB 2.0 KM/S                                        
 OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
 CONVECTION OFF  1.00 TURBULENCE OFF  0.00  0.00  0.00  0.00
ABUNDANCE SCALE   1.99530 ABUNDANCE CHANGE 1 0.91100 2 0.08900
 ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
 ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
 ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
 ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
 ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
 ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
 ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
 ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
 ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
 ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
 ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
 ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
 ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
 ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
 ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
 ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
 ABUNDANCE CHANGE 99 -20.00
READ DECK6 64 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
 4.94464957E-06  20606.7 2.548E-01 4.484E+10 3.657E-01 4.849E+04 2.000E+05
 4.96382397E-06  22944.9 2.559E-01 4.077E+10 3.657E-01 3.628E+04 2.000E+05
 6.47860237E-06  23184.9 3.544E-01 5.587E+10 3.685E-01 3.373E+04 2.000E+05
 8.61566520E-06  23436.3 4.981E-01 7.768E+10 3.717E-01 3.177E+04 2.000E+05
 1.14385596E-05  23677.2 6.922E-01 1.068E+11 3.755E-01 3.088E+04 2.000E+05
 1.51615277E-05  23921.9 9.497E-01 1.450E+11 3.800E-01 3.079E+04 2.000E+05
 2.00647902E-05  24188.3 1.290E+00 1.949E+11 3.849E-01 3.040E+04 2.000E+05
 2.65130364E-05  24474.0 1.739E+00 2.597E+11 3.907E-01 3.028E+04 2.000E+05
 3.49743090E-05  24786.6 2.328E+00 3.434E+11 3.975E-01 3.058E+04 2.000E+05
 4.60489179E-05  25138.7 3.094E+00 4.503E+11 4.054E-01 3.117E+04 2.000E+05
 6.05823231E-05  25530.7 4.119E+00 5.910E+11 4.108E-01 2.765E+04 2.000E+05
 7.96828622E-05  25911.1 5.529E+00 7.821E+11 4.173E-01 2.503E+04 2.000E+05
 1.04712086E-04  26290.4 7.432E+00 1.037E+12 4.253E-01 2.307E+04 2.000E+05
