TEFF  40000.  GRAVITY 4.50000 LTE 
TITLE SDSC GRID  [-3.0]   VTURB 2.0 KM/S                                        
 OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
 CONVECTION OFF  1.00 TURBULENCE OFF  0.00  0.00  0.00  0.00
ABUNDANCE SCALE   0.00100 ABUNDANCE CHANGE 1 0.91100 2 0.08900
 ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
 ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
 ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
 ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
 ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
 ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
 ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
 ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
 ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
 ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
 ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
 ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
 ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
 ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
 ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
 ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
 ABUNDANCE CHANGE 99 -20.00
READ DECK6 64 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
 4.80903237E-06  27834.0 1.434E-01 1.945E+10 3.447E-01 1.803E+03 2.000E+05
 5.15686764E-06  27835.0 1.538E-01 2.085E+10 3.447E-01 1.802E+03 2.000E+05
 6.87660763E-06  27836.0 2.051E-01 2.780E+10 3.448E-01 1.802E+03 2.000E+05
 9.16961993E-06  27837.0 2.735E-01 3.706E+10 3.449E-01 1.802E+03 2.000E+05
 1.22269698E-05  27838.0 3.646E-01 4.940E+10 3.450E-01 1.802E+03 2.000E+05
 1.63027629E-05  27839.0 4.862E-01 6.583E+10 3.451E-01 1.802E+03 2.000E+05
 2.17361347E-05  27846.6 6.482E-01 8.771E+10 3.453E-01 1.804E+03 2.000E+05
 2.89773028E-05  27856.0 8.641E-01 1.168E+11 3.456E-01 1.808E+03 2.000E+05
 3.86240290E-05  27875.7 1.152E+00 1.555E+11 3.459E-01 1.813E+03 2.000E+05
 5.14752010E-05  27906.5 1.535E+00 2.067E+11 3.463E-01 1.820E+03 2.000E+05
 6.85896104E-05  27955.4 2.045E+00 2.747E+11 3.468E-01 1.829E+03 2.000E+05
 9.13704203E-05  28009.6 2.723E+00 3.647E+11 3.476E-01 1.843E+03 2.000E+05
 1.21665528E-04  28091.9 3.625E+00 4.834E+11 3.487E-01 1.861E+03 2.000E+05
